,pgc,meas,H (Mpc),D (Mpc),P (Mpc),Q (Mpc),M (Mpc),Dmin (Mpc),Dmax (Mpc)
0,218,2,1.3572882484345985,15.689829439036597,1.412259049736595,3.3575124292275804,1.9624332459599805,14.215457727008758,17.034893507024915
1,250,2,8.031998337379214,84.915281055285,6.8094029894393175,20.209133370615593,11.330426901995242,76.60348046098787,93.31228416164153
2,255,2,1.3342329393675392,19.395476832927713,2.667676838522042,3.4116929485064644,2.6764344720536126,17.77094113482691,20.919915022694088
3,279,2,1.8635058174353707,29.56491517999702,4.054783783231193,4.074868140596348,3.825989430687301,27.4060144582911,31.69783538259856
4,415,2,5.845615426116485,107.62007336075243,7.575031565353974,12.048122634167537,9.03572535233882,101.40404421626594,112.82921450061079
5,526,2,11.746544722081643,126.06519743258234,17.348655453368174,34.485092947119014,20.129679237546267,112.42789476383903,138.552701805639
6,627,2,1.209876245271406,19.334340445440112,2.6439750711991357,2.7357422146863857,2.547145322194955,17.887774607974507,20.779982031032347
7,698,2,3.4548046390014404,53.390506649644614,7.311775919515058,7.45558861691331,6.993556766180925,49.486511998060834,57.15434103981025
8,701,2,0.6061538418024845,8.52283522185412,0.6065720111254701,1.2573349714094437,0.8275417563415296,7.887063299107081,9.10316343541057
9,767,2,4.919175889567962,78.22795497955248,10.698414618823547,10.698414618823547,10.047220860856154,72.36796510434458,83.76647802141959
10,789,2,15.3366185641846,91.07059287197221,13.319420627345831,47.662087267449074,22.843427912669398,75.37552618705968,106.13308902825618
11,963,3,6.966548141092401,53.46251446187912,3.4368068204594504,8.281651456341194,7.437299975823347,48.244160202358124,62.32383640880018
12,1288,2,6.239380786164927,51.200852774576575,3.2816528980389528,12.320790381958233,6.883938610649459,44.949954985985926,57.42342508997616
13,1525,2,1.1752374909001062,18.750840981683044,2.5583956083089037,2.571067981097613,2.440122284154197,17.366830210066315,20.086282144060895
14,1651,2,1.8665123887122506,29.10410161608921,3.980775638578015,4.000493415108134,3.7793538561839983,26.966124348883458,31.1904001180517
15,1658,2,3.4375421553641594,51.724500904723115,7.084554221143184,8.136130294236802,6.882058259348851,47.725167420993,55.57764855859945
16,1665,2,1.8089795999618032,28.838227904691024,3.9388967556505396,4.111157914462153,3.738313363295909,26.685748062937364,30.878848832061067
17,1713,2,4.016522144237969,60.41997793085833,8.179751587469429,10.131238909539984,8.048880785392575,55.62656254585215,64.74697643901372
18,1851,2,1.264397295554201,19.29776132207843,2.645739073586548,3.128629611185541,2.56387477769782,17.81347487100377,20.730100072764902
19,1970,2,2.579244311784392,40.417883301680696,5.509154376725028,5.521299124176183,5.296837616474994,37.4073851971298,43.292955037504086
20,1977,2,2.5572496612790507,36.63664451363814,5.029038290276851,6.755430205736444,4.979942900636224,33.59951138292879,39.45052172330276
21,2052,2,1.5225829558146111,23.905905052393607,3.2695790265477966,3.4452502724219833,3.136663728516532,22.035959188047087,25.630928625430567
22,2071,2,1.132080887625468,18.136294477679247,2.4799142630440962,2.481282114368757,2.352534096705869,16.78094599543886,19.422510181193395
23,2437,2,1.2261481246752413,19.478182792897773,2.655841688253176,2.657306576223498,2.5787645125422265,17.984732203349246,20.904525868575295
24,2445,2,1.2412456062806883,19.136674954164988,2.609521049147226,2.9155204411202784,2.5114941626449396,17.682326991233065,20.533075462339745
25,2451,2,9.149611001829435,98.5454314161265,15.781778071319101,27.33484145330105,17.061221636029288,87.50818421715209,108.7641926480386
26,2479,2,3.814234813351946,59.94284308052886,8.199519264300923,8.271584537940145,7.721116987766325,55.56104759576046,64.16925024143326
27,2501,2,36.002117981880396,246.58840980709394,15.44973615614369,53.44968585594357,34.07385128734222,210.82108845242445,282.09830855579156
28,2526,2,1.905576079586776,26.841949573209174,3.6310870985449917,4.958931725056501,3.6821378674409093,24.6122357625022,28.897861111911826
29,2699,2,2.37358190207289,36.87441758983226,5.005455018822319,5.668515396867877,4.832215393408351,34.01381517761643,39.472279895035385
30,2747,2,3.785559265736211,59.810321985471695,8.165216432241433,8.205660789710548,7.743764210149717,55.316497953367964,64.06733596856986
31,2800,2,5.438416053733839,70.92239305832754,10.217940818104971,14.446825578842793,10.37305600715793,64.52546386978018,76.85435883056648
32,2805,2,1.0986764310979862,17.21904667775169,2.3437567103322285,2.5231023250873577,2.289721363321049,15.911463593819644,18.488537148407957
33,2865,2,4.578104720861048,73.01729252078076,10.005927598721645,10.3532135484559,9.589146416450049,67.51665858766425,78.3484744715248
34,2899,2,4.43283482782118,69.91022568880574,9.514401930720998,9.844627997026537,9.096300316536844,64.47944266019184,74.78047142254606
35,2928,2,4.782849498793591,74.36504563056747,10.090496323165356,10.862626919436135,9.804436529546113,68.60646090456686,79.54750146499374
36,2980,2,3.0785545105019256,24.100665405137594,2.397367277533367,7.4258028937082745,4.051313711363551,20.90607314819309,27.131118473120317
37,3081,2,4.731781619987573,72.32787016801404,9.819555719965633,11.611784813127642,9.54728906098514,66.7487077348122,77.63671420216667
38,3089,2,1.6343429475755915,23.40826305167812,3.212452142000532,4.535253703873332,3.2152487911624315,21.480403963141224,25.22970531359867
39,3133,2,3.3382444295634106,53.69623790231562,7.3296787798371765,7.345836812738794,6.98449129236044,49.59035918429588,57.47215726916887
40,3184,2,5.385638041392751,83.57004222507184,11.37398178702034,12.244325430972042,11.04890057447771,76.9908113111571,89.77358931551689
41,3218,2,4.724039185957789,73.58959122031071,10.020874703344383,10.158153356209409,9.53227747492351,67.85242620356175,78.82818944948694
42,3222,2,5.0030180267881885,75.84141207039798,10.30882293483553,12.011071638601504,10.13965423674182,69.94044022303501,81.47734123229321
43,3235,2,8.381167611933519,97.02899830456177,13.375152282889827,26.31225610073419,14.970960013786309,87.4096330213982,106.1878804793526
44,3238,2,0.10918082222844049,2.076924406685234,0.10632135697819411,0.1401534534904269,0.1348943562412852,1.9849730977755553,2.1521863284145226
45,3260,2,3.491819051141035,55.832574693118346,7.612966308304593,7.629748839133473,7.23863163774902,51.56079957046445,59.718308872872605
46,3274,2,3.2391985144268034,51.4896494861156,7.029195655463546,7.125490493875702,6.7310777434088065,47.604827776026355,55.17277678274706
47,3285,2,5.458551785504468,88.13862607446079,12.021750238258122,12.081296971412756,11.512144820104748,81.59682966508966,94.39434861148038
48,3332,2,4.379272566763148,69.32182788568515,9.511682740322454,9.841814428909252,9.05590488980582,64.15508144972577,74.27422904571011
49,3444,2,10.27767329162813,163.66350274998402,12.9942944452092,18.555511825768953,15.614219090941042,154.9531749970193,173.81493392988133
50,3466,2,3.8910179289846996,62.020042717111735,8.485377130173301,8.527407323587143,8.04625762309396,57.39130802087252,66.38754467546057
51,3467,2,6.1575220778481405,86.27327412684488,12.440183817139586,15.783628014016442,12.296328259390465,78.97392508001543,93.21314876690519
52,3526,2,1.8549699543591636,29.237075161517115,3.986722220677717,4.065135629765256,3.815358033109913,27.010521268151365,31.29755801519624
53,3572,2,1.2129034212238938,19.36912930691396,2.64473092816198,2.736524305948919,2.5244350335267036,17.94179548883684,20.781447632171904
54,3603,2,2.4035265253680946,38.93709587960302,5.31055748991686,5.4522357750530155,5.059791039847486,35.98220032608037,41.68220120336003
55,3606,2,5.2970821772783045,84.69630797420106,11.588383879640475,11.816311644736436,11.102073635567844,78.42574091851444,90.80630622426672
56,3611,2,4.974425956677824,78.92757809509996,10.775481023615653,10.781424477472767,10.309840352646052,72.82656526255572,84.59024100044182
57,3635,2,1.9734254893103735,31.32234671186794,4.272392550837212,4.293554778808555,4.034538366631988,28.991802977390297,33.50483075487771
58,3664,2,5.6096613413002565,88.84940802112197,12.126437092321433,12.292560409633325,11.600956102495552,82.29679395532732,95.23162399773157
59,3667,2,1.6610321536039534,26.219856537203444,3.5884395279195527,3.637598524400782,3.4792215972488427,24.253851476271326,28.176137697518612
60,3743,2,1.9469564012608733,31.222510219672024,4.256816627190451,4.2662006377568495,4.022100720671958,28.981542060467373,33.42561563996482
61,3773,3,5.861110993383121,61.21461860992942,4.175684317208033,5.397879766221742,6.051966528010059,56.994054737109614,68.59556426392784
62,3853,2,0.7604176405106959,11.819220916330723,1.6057504253571557,1.770900211009737,1.5609255573960905,10.881231974858977,12.668949523651305
63,3866,2,3.5480377290364298,50.94056697628674,7.006238906371598,9.411373547943787,6.974033551196787,46.767252412701744,54.94404977999586
64,3903,2,6.05619941713484,93.05698975146653,12.670544750592162,13.80149088492672,12.35493241867537,85.67748385476071,99.83454815225937
65,3950,2,3.521114738136917,55.395230464308646,7.554438389774951,7.558605206633308,7.200428081631716,51.22957718813486,59.36388523053183
66,3980,2,1.429806162190726,22.04518355995993,2.99936811158282,3.1933302501487226,2.8813323885172775,20.351831931514226,23.672075406864636
67,3981,2,2.4666720985737816,66.1512561459881,4.572863077375782,4.838119906081567,4.624690014028571,63.55879408054756,68.6152514276951
68,4063,2,1.3680954174083546,21.33273068929851,2.9042217252217624,3.092030968948202,2.8103592373114488,19.719504892230145,22.87224970513317
69,4110,2,3.4791708066901212,55.255218404602516,7.563561135240092,8.142329194039743,7.196584436128285,51.0689072885555,59.25181966005838
70,4210,2,3.6886473961115684,57.35535136741167,7.826253442024845,7.843506157240756,7.482476141866188,53.06715695140014,61.453324806737946
71,4274,2,5.175891372740432,51.04872457812573,7.027856308227501,16.511311087777663,8.581116461955935,45.27531897644137,56.520582394999714
72,4376,2,5.420379341027729,74.26723063688198,11.999300564462262,12.042420569693032,11.439364557588652,67.86636111584863,80.38825173675943
73,4387,2,5.456225920587022,86.24984525397771,11.71791813380395,11.820906485873707,11.170041261352196,79.75513162518052,92.22618316231281
74,4524,2,1.874941999256665,30.52638236220707,3.375996998900517,3.57569352802051,3.479047293550141,28.55232263880008,32.385883304460584
75,4540,2,1.1440934084965457,17.75497891063675,2.411716871673577,2.769693348126995,2.2981451976592355,16.349494851374814,18.984456429038957
76,4561,2,3.0697859315741716,48.61709397217003,6.59931312616466,6.775373618601992,6.290235316102069,44.854408828878285,51.91617881174088
77,4563,2,4.281296805264391,68.3181446817399,9.365994702353943,9.386641725927925,8.815401131913482,63.393328575720645,73.01673684184459
78,4596,2,3.7100255620219094,58.327368237581155,7.950262969975706,8.2262008676792,7.523359461617772,53.92562052414243,62.42191236494492
79,4735,2,4.006446902201291,64.51813677774513,8.80381989148708,8.847427411476268,8.377801554458834,59.76483891928411,69.09766970006329
80,4777,2,2.623808098436173,40.14542068128088,5.510554311446058,6.240523956812559,5.277489801487457,37.025352100174175,43.09740933785461
81,4805,2,1.521165422201342,23.944438359029032,3.2709292403138925,3.287130970243435,3.1225250338648127,22.112116043495107,25.66627425914795
82,4912,2,4.9140072137998265,72.3782339620116,10.388051993118586,10.882995339035368,9.905062240737733,66.71363275251174,77.86133287295968
83,4915,2,13.755263126297942,74.47951023641288,6.39012034153273,36.27877918767189,19.467404197139224,60.38979830802171,88.21177538384842
84,4921,2,2.0312914376051605,32.0097297781231,4.371909357544221,4.393564517128344,4.140208877982644,29.535531808177605,34.28274625456517
85,4948,2,3.399421104735741,44.49583248773448,6.12197904670285,10.01901631753831,6.3460562445060535,40.54765252981475,48.20696956710963
86,4957,2,2.7517161025143357,42.943736339613736,5.836426373175632,6.150011787109225,5.591544410807874,39.62432786459607,46.023060024292874
87,4979,2,1.4305028744524513,22.603432119951,3.070889946502117,3.205190257879529,2.9278175367481225,20.871343844339066,24.156106302372454
88,4992,3,12.936206064536444,99.94606473047209,11.876183085091306,17.972619872631682,15.254994546085664,86.89257099890628,114.1172040742051
89,5061,2,3.3939426990211774,54.65274685807978,7.458837561224144,7.495783047621668,7.030901878398501,50.50468294516986,58.339308610657355
90,5097,2,23.386093440222016,89.81126543452335,13.37075502590445,68.63144865633065,31.634923271366727,65.95235308780249,112.63314563796159
91,5132,2,5.696256195568646,90.51451648398698,12.345217203797837,12.674570422624363,11.710146915800735,83.6517151896158,96.85207456734724
92,5139,2,1.567101034438827,25.549460134287205,3.4925297539703344,3.5857055885731928,3.2995346431723664,23.63519594717166,27.33585251804274
93,5147,2,2.4837262180113204,36.05761781621805,4.934583014666097,6.414303431698098,4.881702049373277,33.15469538085516,38.84156159404958
94,5194,2,2.1380598846094125,33.41616520056992,4.549542232989748,4.572077252596247,4.327992004149154,30.886523835187567,35.754491634654016
95,5198,2,4.9070027790436,52.03141950706528,7.143070595011284,15.08594490636048,8.37154563117664,46.464131545329145,57.17149954826423
96,5218,2,2.3198504629471106,36.13874170404126,4.9067653199883114,5.344732856503875,4.796247219771922,33.332028413526885,38.71541307127379
97,5231,2,4.761357669519894,65.94792345610855,10.196720287033326,11.028704128503467,9.813047853886939,60.231298701088406,71.34898470530231
98,5254,2,13.286472769890201,105.46313574373457,15.40133987362049,42.795154159349295,21.033872490104905,90.99867019643617,118.99595404718481
99,5264,2,2.06518240764519,32.59922065483451,4.441183681419513,4.55966828292376,4.2913059268250615,30.099424150084566,34.93204135003048
100,5284,2,3.544137535697706,56.911067879982575,7.76608578788097,7.7703693435226615,7.385100294457723,52.70848674567126,60.94104963796183
