,objname,j2000,meas,H (Mpc),D (Mpc),P (Mpc),Q (Mpc),M (Mpc),Dmin (Mpc),Dmax (Mpc)
0,2MASXJ01270614+1906587        ,J012706.1+190658,4,21.363626160433896,168.78601774105945,2.1133120069202405,15.743954022495272,15.801562707759201,150.37276221758808,192.94112423614104
1,2MASXJ01454460-5605518        ,J014544.6-560552,5,37.12254060520868,352.07281316052354,11.842921463282648,46.3374668212498,34.28000958830518,315.11094567247153,389.4965300302427
2,2MASXJ03372260-3302350        ,J033722.6-330235,5,17.86445901051284,148.50696752445512,4.162972775517983,22.574971696127523,13.623620034946264,127.54214284753301,163.1552828258443
3,2MASXJ09591870-1928233        ,J095918.7-192823,2,2.6425088028248567,65.2890188371512,2.344763217740388,7.79507516554776,3.850823772019591,62.590216579189054,67.92734090750058
4,2MASXJ12592407+2820498        ,J125924.1+282050,3,42.542461678050635,305.11481061224924,8.867044823445486,66.13092536084227,50.105535211701,268.7397712036227,353.9278127294993
5,2MASXJ13524703+0518496        ,J135247.0+051850,2,14.972501797779232,313.85226544990763,13.29195551918253,39.45071796120338,21.424988379650802,298.99865799240735,329.5153717226677
6,AGC112521                     ,J014107.9+271921,2,0.16786269917438645,6.330063980820868,0.09028327100382877,0.4878231791988671,0.24326733175484183,6.161734732299197,6.498055111747984
7,AGC174585                     ,J073610.3+095911,2,0.10165680852031102,7.820346231073174,0.1622616631964511,0.21769686542965877,0.176575761389188,7.720173217810737,7.926403714014126
8,AGC174605                     ,J075021.7+074740,3,0.4831805878386195,9.69311463420381,0.11234007535603928,0.7824802900438025,0.25044792126821913,9.560646193048616,10.527259972158138
9,AGC748778                     ,J000634.3+153039,2,0.08259564001998468,6.34033835968573,0.1126159450142362,0.2567228935888206,0.13888086703422944,6.251074505789398,6.43081286839466
10,ALFAZOAJ1952+1428             ,J195211.8+142824,2,0.17424335701480415,8.40238516323539,0.38310159774630015,0.38310159774630015,0.361105426512172,8.194828319197153,8.598365984539967
11,ANDROMEDA05                   ,J011017.1+473743,5,0.04193662572193704,0.7967311203474428,0.016735023176903396,0.03238226815980557,0.034530830222465565,0.7571380367724779,0.8394340953756678
12,ANDROMEDA06                   ,J235146.6+243500,4,0.029466112961454988,0.8214391135546733,0.016404885676409603,0.023087103852781052,0.026162735513728462,0.7935278154994709,0.8498303161416129
13,ANDROMEDA09                   ,J005252.5+431155,4,0.07888749948150825,0.7631574568333286,0.02315740685775622,0.05344635386324285,0.060599417650626854,0.6700667472611426,0.8218961713314178
14,ANDROMEDA10                   ,J010634.8+444815,5,0.04084655338483275,0.6951371636650441,0.013343406117929009,0.05471867922815691,0.038360639342072185,0.6555777819365142,0.7379090714876151
15,ANDROMEDA11                   ,J004620.2+334812,3,0.04750244312621438,0.768092346214693,0.017199893100681114,0.018570836544998953,0.03733458467017527,0.7322320703721,0.8206597616350593
16,ANDROMEDA12                   ,J004727.0+342229,3,0.08266891868796121,0.8593675216750205,0.04564442575359697,0.07588164810621635,0.07781470342327834,0.8043504865726505,0.9661679150216032
17,ANDROMEDA13                   ,J005151.0+330016,4,0.104453075503503,0.8810115475236657,0.019779861025132604,0.024725241376646008,0.07932471107054735,0.7865070082596173,0.991173214056096
