,Galaxy ID,meas,H (Mpc),D (Mpc),P (Mpc),Q (Mpc),M (Mpc),Dmin (Mpc),Dmax (Mpc)
0,UGC 12889,5,16.174760380595224,76.87874582315713,7.445803945960514,16.507958601609186,14.268178965403855,60.96335776303765,93.84084084982014
1,KUG 2357+228,3,6.565420756399317,56.08633486993907,3.8758430849940537,9.597371381798862,6.971108200980541,51.35743897480919,64.55341231449937
2,SDSS-II SN 14480,6,290.80773255626013,1547.8527078943475,68.11428554002494,304.29833338460503,212.13312881865977,1146.7081105432067,1726.4780527749542
3,2MFGC 00003,2,4.777939872868123,66.39654971531658,10.21663231403783,10.220919612721723,9.85541972459618,60.70687303220157,71.9418778318303
4,UGC 12898,3,8.551926180918198,78.41014791574723,6.028933358814887,8.538489666323157,9.055554321062974,72.35461360078934,89.422725212883
5,UGC 12897,8,21.433463447538845,128.04184738829042,9.066757570012339,11.601936446862062,18.031958781076355,107.8328229039023,151.05732084549274
6,UGC 12900,4,15.588091338965844,111.80406670767785,8.176027537606727,14.748827828051532,14.252728092890106,95.02782029088822,126.7296165209018
7,ESO 349- G 017,2,7.126503593580179,42.21011650413918,15.813575072885449,16.27427617966942,14.387494369752385,33.50704188335782,49.753093279786974
8,UGC 12901,10,17.481764321235158,95.02368733328537,5.144530203549262,10.106091990564602,13.279830194030538,79.2339833372221,114.12351420222582
9,SDSS-II SN 17527,2,173.15893037287256,953.7588340508175,373.6433207520016,373.6433207520016,350.19942117441025,738.1562167591829,1151.9384508719781
10,SDSS-II SN 13647,2,23.95108970933953,900.6839187655139,52.7786688667542,52.7786688667542,50.415806074067774,872.6489699001901,928.19017632937
11,IC 5376,8,12.075375149405255,72.41397054148477,5.101065037007184,6.038836230184079,10.105517496135048,61.06220683785173,85.35059126383791
12,NGC 7806,4,9.15352074189142,67.82286078108969,6.874990660961279,7.521745035985026,9.272466377081003,59.204726851347786,78.17248454185214
13,SDSS J000129.96+001633.5,2,75.1649454755503,2601.0822730514137,160.67175168840657,175.9664512955482,153.12541946831297,2514.4235924460495,2685.477504411254
14,SN 2006nf,2,74.26095804973185,2597.4231317018007,160.67175168840657,175.9664512955482,151.09117353692508,2511.76248106647,2681.421147524502
15,UGC 12913,4,10.013517882792437,81.30218647481486,5.966435811165501,7.082352704827549,9.469456777356639,71.47162191908224,91.83380487483466
16,UGC 12914,6,10.000968243931991,52.62179493653603,3.551783170431953,8.011256378991002,7.866356327593133,42.109128761078544,61.98832717335678
17,UGC 12915,4,15.381595228225297,83.03803202262105,8.021892536436715,20.01142797597042,15.36719326905385,67.29031860623604,98.43400314521747
18,SDSS-II SN 16551,4,70.5710463788982,1244.3169751900252,54.50351742252767,55.57993875336882,73.24353637969494,1173.8016335322257,1321.268422338217
19,ESO 409- G 004,3,9.144515236737732,131.97255729233413,9.080341697809079,9.706717605021533,11.070294471902251,122.75905145596778,141.79608004844744
20,WLM,39,0.0742725059793175,0.9606332505067773,0.004541463181164103,0.06574932165477514,0.046847380154846296,0.899292451486029,1.0480652170699827
21,Andromeda XVIII,4,0.06523192609236791,1.301694516531337,0.031436523575847926,0.08105978980114667,0.06520398481951328,1.237411619926413,1.3691945996082626
22,UGC 12920,8,14.163535093803263,88.07984633480831,5.1438935680404905,6.611913481741126,11.317058186259068,75.67876556481242,104.1648395893782
23,SDSS-II SN 15239,2,21.104440288123428,1192.2989495259108,46.5979889016854,46.5979889016854,44.00688412902999,1167.895095874237,1216.519162878879
24,MCG -01-01-024,6,14.107968128579214,100.71570708108261,6.375709358392173,8.99560761809388,12.039116605005137,87.51464556290624,115.72064449035963
25,CGCG 408-013,4,8.615315629388482,73.94406746934771,5.211610143261017,5.8212150953713735,8.06474649529999,66.17946767711368,83.54123595437592
26,SDSS-II SN 15850 HOST,3,98.59319693340132,1161.4657202441688,36.49484010426151,176.79334503178316,90.7846373747611,1013.4210413197299,1210.0566376929373
27,SDSS-II SN 15850,3,99.52405763626265,1161.8133625272787,36.49484010426151,176.79334503178316,90.42025243376911,1012.1556391680889,1212.720521566412
28,2MASX J00024069+0846251,3,14.609610061929516,153.33571729860472,11.799773156338583,13.721968457243054,15.834911210185647,139.87606685295594,169.3974002881519
29,ESO 012- G 014,2,3.86752201665237,18.112285235614497,3.0723078952154066,9.547808158637972,4.886907952355852,14.046214275947932,21.869908530876764
30,UGC 00003,7,18.89726473811328,114.85315282339324,6.904222001773241,13.614130878284842,15.725555931345962,97.5311523914394,135.2224634151429
