,Exclusion Code,D,G,Galaxy ID,m-M,err,D (Mpc),Method,REFCODE,SN ID,redshift (z),Hubble const.,Adopted LMC modulus,Date (Yr. - 1980),Notes
47,,37,23,UGC 12894,29.64,,8.47,Tully-Fisher,2013AJ....145..101K,,,,,33,
297,R,258,125,WLM,25.88,,1.5,Tully-Fisher,2006sf2a.conf..365V,,,,,26,LEDA [April 2006]
694,,577,260,FGC 0001,32.7,,34.7,Tully-Fisher,2000BSAO...50....5K,,,,,20,
695,,578,260,FGC 0001,33.19,,43.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
696,,579,260,FGC 0001,33.21,,43.9,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
697,,580,260,FGC 0001,33.24,,44.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
873,,725,348,ESO 409-IG 015,29.43,,7.69,Tully-Fisher,2013AJ....145..101K,,,,,33,
879,,731,353,FGCE 0006,33.92,,60.8,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
880,,732,353,FGCE 0006,33.94,,61.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
881,,733,353,FGCE 0006,33.95,,61.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
882,,734,353,FGCE 0006,34.04,,64.4,Tully-Fisher,2000BSAO...50....5K,,,,,20,
1038,,854,418,UGC 00047,31.63,,21.2,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
1039,,855,418,UGC 00047,31.65,,21.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
1040,,856,418,UGC 00047,31.69,,21.8,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
1262,,1028,491,UGC 00064,29.91,,9.59,Tully-Fisher,2013AJ....145..101K,,,,,33,
1343,,1095,517,ESO 349- G 031,28.06,,4.1,Tully-Fisher,2003A&A...404...93K,,,,,23,
1908,,1577,673,AM 0008-324 NED02,33.72,,55.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
1909,,1578,673,AM 0008-324 NED02,33.76,,56.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
1910,,1579,673,AM 0008-324 NED02,33.76,,56.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
2262,,1831,789,FGC 0023,35.13,,106.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
